archivo	ancho_px	alto_px	tamano_bytes
1.png	848	1264	1764956
2.png	1024	1024	1965055
3.png	1440	736	2021769
4.png	736	1440	2121121
5.png	1296	816	1894362
6.png	816	1296	1702033
7.png	1264	848	1729669
8.png	848	1264	1528930
9.png	1024	1024	2174510
10.png	1440	736	2525225
11.png	736	1440	2134815
12.png	1296	816	2020387
13.png	816	1296	1959749
14.png	1264	848	2484605
15.png	848	1264	2711246
16.png	1024	1024	2917102
17.png	1440	736	3142687
18.png	736	1440	2681056
19.png	1296	816	3811446
20.png	816	1296	3753133
21.png	1264	848	4746364
22.png	848	1264	4796777
23.png	1024	1024	5458759
24.png	1440	736	5837002
25.png	736	1440	5909211
26.png	816	1296	7811101
27.png	816	1296	8381368
28.png	1408	768	1908330
29.png	816	1296	2093162
30.png	1408	768	2201993
